City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
320,Puerto Leguizamo,Co,-0.1934,-74.7819,69.19,98,100,1.39,overcast clouds
321,Manggar,Id,-2.8833,108.2667,79.0,86,87,2.48,overcast clouds
322,Boshnyakovo,Ru,49.6333,142.1667,41.05,99,100,2.51,moderate rain
323,Vostok,Ru,46.4856,135.8833,44.13,97,24,4.88,few clouds
324,Sisimiut,Gl,66.9395,-53.6735,43.3,50,5,6.17,clear sky
325,Leningradskiy,Ru,69.3833,178.4167,33.71,91,97,3.56,overcast clouds
326,Walvis Bay,Na,-22.9575,14.5053,59.09,72,0,18.1,clear sky
327,Touros,Br,-5.1989,-35.4608,81.1,77,93,5.86,overcast clouds
328,Puerto Ayacucho,Ve,5.6639,-67.6236,77.22,86,96,6.51,overcast clouds
329,Victoria,Hk,22.2855,114.1577,78.96,80,57,10.0,broken clouds
330,Kuytun,Ru,54.3419,101.5036,55.63,77,100,2.57,overcast clouds
331,Margherita Di Savoia,It,41.3742,16.1502,64.02,50,0,2.98,clear sky
332,Seoul,Kr,37.5683,126.9778,60.37,65,0,4.61,clear sky
333,La Macarena,Co,2.1837,-73.7849,70.14,95,100,3.53,overcast clouds
334,Price,Us,39.5994,-110.8107,77.11,21,87,23.26,overcast clouds
335,Luwuk,Id,-0.9516,122.7875,77.4,87,98,4.29,overcast clouds
336,La Orilla,Mx,17.9833,-102.2333,85.06,50,37,11.81,scattered clouds
