City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
555,Mana,Gf,81.28,scattered clouds,5.6592,-53.7767,LE SAMANA
556,Mandera,Ke,84.78,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
558,Farafenni,Gm,88.3,few clouds,13.5667,-15.6,Eddy's Hotel
561,Salalah,Om,80.65,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
562,Castelletto Sopra Ticino,It,75.4,clear sky,45.72,8.6336,B&B Hotel Malpensa Lago Maggiore
563,Gharo,Pk,82.62,clear sky,24.7424,67.5856,Fotis Lodge
568,Tecoanapa,Mx,88.47,few clouds,16.5167,-98.75,Hotel Manglares
571,Puri,In,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
575,Banjar,Id,77.67,overcast clouds,-8.19,114.9675,The Hamsa Resort
578,Gat,Il,75.4,clear sky,31.61,34.7642,OlusHome
580,Bac Lieu,Vn,80.8,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
581,Dulce Nombre De Culmi,Hn,79.93,scattered clouds,15.1,-85.5333,Hotel Zuniama
586,Champerico,Gt,87.39,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
589,Ransang,Ph,79.54,scattered clouds,8.9603,117.5828,Black and Crystal Sand Campsite
596,Sokoni,Tz,80.28,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
604,Tiruchchendur,In,81.34,broken clouds,8.4833,78.1167,Hotel Udhayam International
605,Bull Savanna,Jm,83.73,broken clouds,17.8868,-77.5902,Big Red's
608,Alice Town,Bs,82.26,few clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
617,Sola,Vu,81.82,few clouds,-13.8833,167.55,Leumerus Bungalows
620,Vanimo,Pg,77.77,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
621,Palmas,Br,75.31,overcast clouds,-10.2128,-48.3603,Hotel Lago da Palma
622,Lompoc,Us,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
623,Kattivakkam,In,85.06,overcast clouds,13.2167,80.3167,Euronova Freezer
624,Miri,My,78.39,light rain,4.4148,114.0089,"Mega Hotel, Miri"
625,Nieuw Amsterdam,Sr,86.02,broken clouds,5.8833,-55.0833,Hotel Stardust
627,Mae Sot,Th,75.13,overcast clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
633,Sao Jose Da Coroa Grande,Br,80.58,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
636,Fasa,Ir,78.3,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
638,Praia,Cv,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
651,Grand-Lahou,Ci,79.05,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
657,Oranjestad,Aw,79.84,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
661,Gharghoda,In,83.01,few clouds,22.1667,83.35,Gokul Naik
665,El Rosario,Mx,87.51,clear sky,24.2556,-107.1828,Mi casa
672,Kolondieba,Ml,89.53,broken clouds,11.0882,-6.8926,Hotel Dakan
